City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
East London,88,ZA,1551569091,100,-33.02,27.91,71.45,2.15
Kahului,40,US,1551569019,57,20.89,-156.47,77.0,17.22
Kodiak,90,US,1551569179,68,39.95,-94.76,27.0,14.99
Bluff,0,AU,1551569201,47,-23.58,149.07,81.26,12.44
Qandala,0,SO,1551569201,100,11.47,49.87,62.36,2.59
Butaritari,68,KI,1551569202,100,3.07,172.79,82.43,15.68
Sao Gabriel da Cachoeira,12,BR,1551569202,86,-0.13,-67.09,78.38,2.15
Upernavik,20,GL,1551569202,100,72.79,-56.15,0.35,0.13
Ushuaia,40,AR,1551567600,66,-54.81,-68.31,51.8,2.24
Mataura,0,NZ,1551568805,72,-46.19,168.86,63.0,8.01
Belaya Gora,56,RU,1551569203,75,68.54,146.19,-11.63,8.3
Eyrarbakki,0,IS,1551569055,100,63.86,-21.15,33.01,14.99
Inhambane,20,MZ,1551569204,99,-23.87,35.38,77.84,8.19
Shiyan,0,CN,1551569204,79,32.65,110.78,26.99,2.04
Kavieng,0,PG,1551569205,97,-2.57,150.8,84.95,4.27
Barrow,0,AR,1551569205,66,-38.31,-60.23,60.96,7.07
Pacific Grove,75,US,1551569125,77,36.62,-121.92,64.0,13.87
Alofi,76,NU,1551564000,74,-19.06,-169.92,86.0,8.05
Saldanha,8,PT,1551569206,78,41.42,-6.55,37.52,4.94
Atuona,0,PF,1551569206,100,-9.8,-139.03,81.17,8.75
Lorengau,8,PG,1551568933,92,-2.02,147.27,84.86,6.96
Broken Hill,0,AU,1551564000,22,-31.97,141.45,86.0,10.29
Mount Gambier,40,AU,1551567120,82,-37.83,140.78,66.2,14.99
Genhe,0,CN,1551569207,52,50.78,121.52,5.48,2.71
Henties Bay,0,NA,1551567727,85,-22.12,14.28,66.99,5.99
Hermanus,0,ZA,1551568629,92,-34.42,19.24,66.0,1.99
Rikitea,0,PF,1551569210,100,-23.12,-134.97,79.1,9.86
Loandjili,40,CG,1551567600,88,-4.77,11.87,80.6,3.36
Coquimbo,40,CL,1551567600,72,-29.95,-71.34,64.4,6.93
Senneterre,90,CA,1551567600,92,48.39,-77.24,19.4,8.05
Alyangula,12,AU,1551564000,94,-13.85,136.42,78.8,2.24
Benguela,56,AO,1551569211,100,-12.58,13.4,79.14,2.93
Hofn,56,IS,1551569211,100,64.25,-15.21,36.44,17.47
Lavrentiya,56,RU,1551568961,100,65.58,-170.99,17.58,2.82
Nanortalik,88,GL,1551568938,96,60.14,-45.24,30.41,7.29
Waipawa,0,NZ,1551568156,53,-39.94,176.59,70.0,8.97
Port Alfred,80,ZA,1551568914,77,-33.59,26.89,69.01,4.5
Norman Wells,20,CA,1551567600,46,65.28,-126.83,8.6,11.41
Salalah,40,OM,1551563400,21,17.01,54.1,78.8,10.29
Gazimurskiy Zavod,0,RU,1551569213,60,51.55,118.33,8.18,2.59
Sao Filipe,0,CV,1551568960,87,14.9,-24.5,72.8,14.79
Hithadhoo,64,MV,1551569100,100,-0.6,73.08,82.43,12.77
Chuy,0,UY,1551568947,78,-33.69,-53.46,67.85,15.01
Provideniya,20,RU,1551568932,96,64.42,-173.23,27.48,7.4
Hobart,75,AU,1551569174,82,-42.88,147.33,66.99,4.7
Salvador,20,BR,1551567600,79,-12.98,-38.48,84.2,10.29
Qaanaaq,0,GL,1551569214,61,77.48,-69.36,3.32,17.25
Severo-Kurilsk,0,RU,1551569214,100,50.68,156.12,26.76,14.0
Ribeira Grande,8,PT,1551568918,98,38.52,-28.7,60.29,23.51
Busselton,0,AU,1551569110,48,-33.64,115.35,64.0,13.22
Esperance,40,TT,1551568808,69,10.24,-61.45,80.6,11.41
Te Anau,0,NZ,1551569004,41,-45.41,167.72,68.61,3.6
Mayen,20,DE,1551569178,76,50.33,7.22,50.0,6.93
Manbij,75,SY,1551567000,93,36.53,37.96,45.0,1.12
Puerto Ayora,20,EC,1551567600,66,-0.74,-90.35,86.0,9.17
Whitehorse,75,CA,1551569140,33,60.72,-135.06,18.0,12.75
Touros,40,BR,1551567600,94,-5.2,-35.46,78.8,5.82
Agadez,0,NE,1551568974,51,16.97,7.99,51.33,3.49
Kaitangata,0,NZ,1551569217,78,-46.28,169.85,65.64,3.83
Hilo,1,US,1551569172,57,19.71,-155.08,77.0,10.29
Lebu,8,ET,1551568931,74,8.96,38.73,46.25,3.38
Sao Luiz Gonzaga,12,BR,1551569217,80,-28.41,-54.96,73.7,2.26
Victoria,75,BN,1551565800,100,5.28,115.24,77.0,1.14
Fort Abbas,92,PK,1551569218,94,29.19,72.85,57.09,3.94
Mildura,0,AU,1551568514,20,-34.18,142.16,87.8,9.17
Ust-Tsilma,0,RU,1551569218,49,65.44,52.15,-9.11,2.93
Yellowknife,40,CA,1551567600,44,62.45,-114.38,-0.41,6.93
Richards Bay,92,ZA,1551569220,100,-28.77,32.06,72.62,9.75
Vaini,0,IN,1551569081,85,15.34,74.49,56.96,2.26
Arraial do Cabo,92,BR,1551569220,93,-22.97,-42.02,80.9,11.65
Longyearbyen,40,NO,1551567000,77,78.22,15.63,3.2,8.05
Itarema,92,BR,1551568938,100,-2.92,-39.92,73.11,0.69
San Cristobal,40,EC,1551568605,82,-0.39,-78.55,60.8,6.93
Dikson,32,RU,1551568995,76,73.51,80.55,-7.71,5.95
Carnarvon,0,ZA,1551568922,60,-30.97,22.13,59.12,8.08
Pangnirtung,20,CA,1551569222,69,66.15,-65.72,-16.13,2.37
Burdur,75,TR,1551567000,75,37.72,30.29,46.4,4.7
Souillac,0,FR,1551569145,93,45.6,-0.6,50.0,8.05
Shirokiy,8,RU,1551569034,54,53.87,39.17,10.0,1.99
